"kind","query","timestamp","found","status"
"article","https://boilerroom.tv/paco-osuna-barcelona/","20151018094808","http://boilerroom.tv:80/paco-osuna-barcelona/","200"
"article","https://boilerroom.tv/paco-osuna-barcelona/","20151029111508","http://boilerroom.tv:80/paco-osuna-barcelona/","200"
"article","https://boilerroom.tv/paco-osuna-barcelona/","20200815143255","https://boilerroom.tv/paco-osuna-barcelona/","200"
"article","https://boilerroom.tv/paco-osuna-barcelona/","20220520115159","https://boilerroom.tv/paco-osuna-barcelona/","200"
"article","https://boilerroom.tv/paco-osuna-barcelona/","20221201212729","https://boilerroom.tv/paco-osuna-barcelona/","200"
"article","https://boilerroom.tv/paco-osuna-barcelona/","20230926034022","https://boilerroom.tv/paco-osuna-barcelona/","200"
"article","https://boilerroom.tv/paco-osuna-barcelona/","20240419034837","https://boilerroom.tv/paco-osuna-barcelona/","200"
"article","http://inthemix.com.au/features/21078/","20050523104842","http://www.inthemix.com.au:80/features/21078/","200"
"article","http://www.inthemix.com.au/features/21078/","20050523104842","http://www.inthemix.com.au:80/features/21078/","200"
"article","http://inthemix.com.au/features/24866/","20060916093706","http://www.inthemix.com.au/features/24866/","200"
"article","http://inthemix.junkee.com/riot-in-denmark-partying-hard-at-distortion-festival","20151229055006","http://inthemix.junkee.com/riot-in-denmark-partying-hard-at-distortion-festival/24866","200"
"article","http://inthemix.junkee.com/riot-in-denmark-partying-hard-at-distortion-festival","20151229032005","http://inthemix.junkee.com/riot-in-denmark-partying-hard-at-distortion-festival/24866/2","200"
"article","http://inthemix.junkee.com/riot-in-denmark-partying-hard-at-distortion-festival/24866","20151229055006","http://inthemix.junkee.com/riot-in-denmark-partying-hard-at-distortion-festival/24866","200"
"article","http://www.inthemix.com.au/features/24866/","20060916093706","http://www.inthemix.com.au/features/24866/","200"
"directory","http://images.inthemix.com.au/1697/","20170325202748","http://images.inthemix.com.au/1697/1697904.jpg","200"
"directory","http://images.inthemix.com.au/1734/","20170315001128","http://images.inthemix.com.au/1734/1734619.jpg","200"
"directory","http://images.inthemix.com.au/1734/","20190104231207","http://images.inthemix.com.au/1734/1734621.jpg","200"
"directory","http://images.inthemix.com.au/1734/","20170504214304","http://images.inthemix.com.au/1734/1734654.jpg","200"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20190426052244","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/10YEARSOFSIDEONE-feed1.jpg","200"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20170210032301","http://cdn.boilerroom.tv/wp-content/uploads/2015/08/10YEARSOFSIDEONE-flyer1-400x400.jpg","200"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20171101171514","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/11940046_10205046064454665_1087916868_o.jpg","200"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20150905215640","http://cdn.boilerroom.tv/wp-content/uploads/2015/08/11942485_10205046064974678_1496573665_o-400x400.jpg?1d0978","200"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20151113031022","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/11942485_10205046064974678_1496573665_o.jpg?fc5b56","200"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20171101171544","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/11975402_10205046064574668_1826989866_o.jpg","200"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20240402225826","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/11975402_10205046064574668_1826989866_o.jpg","301"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20240517110133","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/11975402_10205046064574668_1826989866_o.jpg","301"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20150924174553","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/2006_Club410.04.06-165x165.jpg","200"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20150925075725","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/2006_Paco-308x196.jpg","200"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20150926011508","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/2006_Paco-980x653.jpg","200"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20150924110746","http://cdn.boilerroom.tv/wp-content/uploads/2015/08/2006_Paco-e1440765156787.jpg","200"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20150910111640","http://cdn.boilerroom.tv/wp-content/uploads/2015/08/2011_es-1231-314744-front.jpg?1d0978","200"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20150924173842","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/2012_Captura-de-pantalla-2015-08-26-a-las-11.31.12.png","200"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20150924105109","http://cdn.boilerroom.tv/wp-content/uploads/2015/08/2015-08-27-06.50.33-1-308x196.jpg","200"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20150924110722","http://cdn.boilerroom.tv/wp-content/uploads/2015/08/2015-08-27-06.50.33-1.jpg","200"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20150926011225","http://cdn.boilerroom.tv/wp-content/uploads/2015/08/3-e1440697348940-980x519.jpg","200"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20150925081245","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/5FKA3VHPRW1.jpg","200"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20150923153411","http://cdn.boilerroom.tv/wp-content/uploads/2015/08/A-Band-Called-Flash-Mother-Confessor-308x196.png?09ceea","200"
"directory","https://cdn.boilerroom.tv/wp-content/uploads/2015/08/","20150908085723","http://cdn.boilerroom.tv/wp-content/uploads/2015/08/A-Band-Called-Flash-Mother-Confessor.png?121cbd","200"
